M3GAN (2023),M3GAN 2.0 (2025),The Super Mario Bros. Movie (2023),Superman (2025),Killers of the Flower Moon (2023),Oppenheimer (2023),Wonka (2023),The Little Mermaid (2023),The Hunger Games (2012),The Hunger Games: Catching Fire (2013),"The Hunger Games: Mockingjay, Part 1 (2014)","The Hunger Games: Mockingjay, Part 2 (2015)",The Hunger Games: The Ballad of Songbirds & Snakes (2023),Dune (2021),Dune: Part Two,Beetlejuice (1988),Beetlejuice Beetlejuice (2024),Hotel Rwanda (2004),Barbie (2023),Deadpool & Wolverine (2024),Avengers: Infinity War (2018),Avengers: Endgame (2019),Alien: Romulus (2024),Alien (1979)
B,5|10,B+,4|4,A+,4|5,3|4,3|5,3|4,3|4,4|5,3.5|5,2|5,3.5|4,10|10,,3.5|5,3.5|4,4|4,4.5|5,5|5,3.5|4,3|5,10|10
4|5,3|5,2.5|4,3|5,5|5,5|5,3|4,C-,3.5|4,3.5|4,4|5,3|5,C,B,4|5,,5|10,2.5|4,3|4,3|4,3|5,5|5,2.5|5,3.5|4
3|5,2.5|5,1.5|4,C+,5|5,9|10,4|4,4|5,4|5,B,3.5|5,2.5|4,B,3.5|4,4|5,,3|4,3.5|4,2.5|5,3.5|5,8|10,A-,3|4,B+
4|5,C+,5|10,A+,4|4,A-,C,4|5,8|10,2.5|4,3.5|4,2.5|4,6|10,5|5,B+,,4|4,A-,4.5|5,A,3|4,5|5,4|5,A+
4|5,2|5,3|4,2.5|4,4|4,10|10,3|5,3|5,B+,2.5|4,3|5,2.5|4,2.5|4,3|4,A+,,5|5,4|5,A,4|5,4|5,4|5,3.5|5,9|10
4|5,3|4,2.5|5,8|10,A,3|4,B+,2.5|4,3|4,3.5|4,3|4,B,C+,2|4,4.5|5,,3.5|5,3.5|4,B+,2.5|5,A-,4|5,3.5|4,3.5|4
3.5|5,2|4,3|5,3|4,5|5,2.5|4,4|5,C,3.5|4,9.2|10,5|5,B-,4|5,3.5|4,50|100,,6.5|10,C+,3.5|5,4|5,3.5|5,5|5,3|4,3.5|4
6|10,3|5,3.5|5,4|5,5|5,4|4,3|4,6|10,B,4.5|5,C,1|5,3|5,A-,4|5,,3|4,10|10,4|4,C,2.5|4,3|4,5|5,A
B+,2.5|4,4|5,4.5|5,5|5,8|10,B,3|5,B-,C-,4|5,C,C,3|5,2.5|4,,8|10,B,3.5|4,2|5,1|4,2.5|5,4|5,
3|4,1.5|4,2.5|5,4.5|5,3.5|4,3|5,8|10,4|5,3.5|5,4|5,5|10,4|5,3|4,2.5|5,4|5,,3|5,4|4,4.75|5,3|5,3.5|4,4|4,3|4,
